Customer_ID,Tenure_Months,Monthly_Charges,Total_Usage_GB,Subscription_Type,Payment_Method,Customer_Support_Calls,Churn
50074,17,1554.46,379.18,Basic,Net Banking,6,No
50075,36,1324.97,324.2,Premium,Debit Card,3,Yes
50076,50,1154.78,121.05,Premium,UPI,2,No
50077,40,1071.39,367.15,Basic,UPI,11,No
50078,4,546.71,132.16,Basic,Debit Card,3,No
50079,2,1150.03,91.73,Standard,Credit Card,5,No
50080,6,416.24,346.88,Basic,Net Banking,11,Yes
50081,54,2408.6,422.18,Standard,Net Banking,3,Yes
50082,42,1375.22,243.36,Premium,Net Banking,3,No
50083,4,1498.54,268.04,Standard,Debit Card,1,No
50084,54,2712.71,154.86,Premium,Debit Card,6,No
50085,29,2076.75,249.84,Basic,Net Banking,5,No
50086,18,321.76,70.33,Standard,Net Banking,1,No
50087,26,2846.57,478.14,Premium,Credit Card,4,No
50088,44,940.29,401.18,Standard,UPI,5,No
50089,34,590.56,335.65,Standard,Debit Card,4,Yes
50090,10,2373.95,271.41,Standard,UPI,3,No
50091,36,1651.29,397.12,Premium,Net Banking,10,No
50092,14,1471.18,249.9,Basic,UPI,10,No
50093,31,973.66,153.49,Basic,UPI,8,No
50094,48,1778.17,84.39,Basic,Debit Card,2,No
50095,15,1040.84,325.55,Premium,Debit Card,10,Yes
50096,8,2734.27,465.07,Premium,Credit Card,1,No
50097,14,881.05,81.04,Basic,Net Banking,8,No
50098,23,2687.76,94.11,Basic,Credit Card,7,Yes
50099,57,1810.39,219.63,Premium,Debit Card,8,No
50100,40,2536.92,404.42,Basic,Credit Card,9,No
50101,21,2224.68,150.49,Basic,UPI,10,Yes
50102,16,2181.08,130.69,Basic,UPI,2,Yes
50103,45,1175.73,311.88,Basic,Debit Card,0,No
50104,18,931.52,270.13,Standard,UPI,10,No
50105,47,869.39,34.81,Standard,Net Banking,0,No
50106,53,2614.42,45.34,Standard,Debit Card,2,Yes
50107,24,2515.15,323.29,Premium,Net Banking,3,Yes
50108,26,1489.55,235.24,Basic,Debit Card,1,Yes
50109,25,657.49,485.63,Basic,Debit Card,7,No
50110,45,1332.08,340.87,Premium,UPI,11,No
50111,41,1972.23,9.99,Premium,Debit Card,2,No
50112,29,1526.89,243.1,Basic,Debit Card,3,No
50113,15,2406.51,210.15,Basic,Credit Card,5,No
50114,45,2993.58,57.82,Basic,UPI,9,No
50115,1,816.06,461.99,Standard,Net Banking,5,Yes
50116,25,1541.06,403.48,Basic,Debit Card,1,Yes
50117,7,1463.66,118.89,Standard,Net Banking,5,No
50118,9,1122.13,131.71,Basic,Credit Card,3,Yes
50119,24,834.86,20.85,Premium,Debit Card,4,No
50120,1,477.37,151.88,Basic,Net Banking,6,No
50121,44,2695.22,294.39,Standard,UPI,6,No
50122,8,1433.59,213.32,Basic,Credit Card,5,No
50123,24,1641.62,484.78,Basic,Credit Card,9,Yes
50124,11,2775.74,32.76,Standard,Net Banking,5,Yes
50125,51,2395.98,297.76,Premium,Debit Card,5,No
50126,17,652.35,429.86,Standard,Debit Card,3,No
50127,8,1826.63,242.97,Standard,UPI,2,No
50128,35,1494.08,6.47,Basic,UPI,0,No
50129,35,2452.47,125.19,Standard,Debit Card,2,No
50130,33,2255.43,165.27,Basic,Credit Card,2,Yes
50131,59,2164.1,483.17,Basic,UPI,8,No
50132,5,1219.47,456.33,Premium,UPI,2,Yes
50133,42,2473.4,474.84,Premium,Credit Card,7,No
50134,39,441.46,413.75,Standard,Debit Card,7,No
50135,58,730.99,179.07,Premium,Net Banking,2,Yes
50136,41,1206.18,453.41,Premium,UPI,9,No
50137,28,507.38,490.93,Basic,Credit Card,9,No
50138,7,934.48,178.29,Premium,UPI,11,No
50139,9,2541.41,133.98,Standard,Credit Card,5,Yes
50140,8,2860.28,275.72,Premium,UPI,11,Yes
50141,12,1122.43,97.64,Standard,Debit Card,7,No
50142,34,1014.19,21.15,Standard,Credit Card,7,Yes
50143,33,1055.71,473.19,Standard,Net Banking,9,No
50144,48,1049.84,463.24,Basic,Net Banking,9,No
50145,55,397.01,85.51,Premium,Unknown,8,No
50146,23,2802.67,206.83,Basic,Net Banking,8,Yes
50147,24,876.98,416.36,Basic,UPI,7,No
50148,37,1434.01,332.2,Basic,Credit Card,6,Yes
50149,35,326.15,200.42,Basic,Credit Card,9,No
50150,44,2616.48,373.36,Basic,Net Banking,2,No
50151,40,2274.12,449.04,Basic,Net Banking,6,No
50152,22,2856.24,463.45,Standard,Debit Card,3,No
50153,27,2410.36,192.53,Standard,Credit Card,1,No
50154,35,1147.01,90.91,Basic,Net Banking,7,No
50155,1,969.26,456.86,Basic,Net Banking,1,No
50156,35,2183.83,50.81,Premium,Unknown,0,Yes
50157,37,1283.1,362.24,Basic,UPI,11,No
50158,47,1828.78,74.55,Basic,Debit Card,11,Yes
50159,14,316.9,197.75,Basic,Credit Card,4,No
50160,3,467.09,208.72,Basic,Net Banking,9,No
50161,1,1745.49,83.59,Standard,Net Banking,8,No
50162,5,1828.39,461.73,Basic,Net Banking,4,No
50163,26,2328.92,6.32,Standard,UPI,10,No
50164,55,656.31,447.44,Basic,Credit Card,1,No
50165,14,1685.59,442.5,Standard,Net Banking,9,No
50166,39,825.01,161.9,Premium,Net Banking,3,No
50167,27,551.63,353.62,Basic,UPI,7,No
50168,9,1408.34,130.14,Basic,UPI,6,No
50169,15,741.01,380.59,Basic,Debit Card,4,Yes
50170,15,898.81,282.75,Standard,Debit Card,3,Yes
50171,26,1157.4,153.61,Basic,Credit Card,4,No
50172,42,1000.35,203.12,Standard,Debit Card,6,No
50173,13,536.5,346.49,Basic,Credit Card,4,No
50174,51,542.77,453.52,Basic,Debit Card,7,Yes
50175,32,821.77,69.71,Basic,Net Banking,6,Yes
50176,39,436.51,287.83,Basic,Debit Card,6,Yes
50177,49,1991.43,130.6,Basic,Net Banking,8,No
50178,52,1075.78,401.68,Basic,Credit Card,7,No
50179,32,1055.31,39.77,Standard,Debit Card,11,No
50180,4,1196.4,346.03,Basic,Debit Card,7,No
50181,30,2089.55,91.6,Standard,Debit Card,5,No
50182,37,2650.71,300.21,Standard,Net Banking,6,No
50183,23,2349.53,418.67,Standard,Net Banking,7,No
50184,39,2264.33,378.76,Premium,Debit Card,4,No
50185,45,1607.86,377.71,Basic,Credit Card,9,No
50186,15,2173.28,261.33,Basic,Net Banking,1,No
50187,43,1792.46,445.92,Standard,UPI,6,No
50188,29,883.88,296.11,Standard,Credit Card,9,No
50189,36,863.19,459.17,Standard,Credit Card,2,Yes
50190,13,1100.26,275.53,Basic,Credit Card,9,Yes
50191,32,2759.17,255.45,Standard,Net Banking,10,No
50192,7,1778.02,115.06,Premium,Debit Card,7,No
50193,59,2281.54,274.67,Basic,Debit Card,5,Yes
50194,51,1235.71,74.59,Premium,UPI,10,No
50195,22,1400.83,435.5,Basic,Debit Card,3,No
50196,28,639.03,339.57,Basic,UPI,1,No
50197,2,762.5,496.85,Basic,UPI,6,Yes
50198,42,2533.86,50.59,Standard,Debit Card,0,No
50199,45,1879.06,124.13,Standard,UPI,6,Yes
50200,57,1211.34,439.19,Standard,Credit Card,9,No
50201,53,2467.7,200.65,Standard,Credit Card,9,Yes
50202,6,965.6,235.82,Basic,Credit Card,6,No
50203,28,2935.29,431.02,Basic,Net Banking,9,Yes
50204,28,1231.01,263.3,Basic,UPI,2,Yes
50205,44,1210.74,100.77,Premium,UPI,3,Yes
50206,44,1142.16,446.55,Basic,Credit Card,11,Yes
50207,20,629.7,20.38,Premium,Net Banking,3,No
50208,30,600.07,448.22,Basic,Debit Card,3,No
50209,11,2049.88,30.01,Basic,Credit Card,8,No
50210,58,2662.82,334.6,Basic,Net Banking,5,No
50211,55,2434.41,40.48,Basic,Debit Card,9,No
50212,28,680.99,354.58,Premium,Net Banking,8,Yes
50213,25,1773.07,21.82,Standard,Debit Card,11,No
50214,39,585.1,422.02,Premium,UPI,3,Yes
50215,33,422.3,235.64,Premium,UPI,6,No
50216,1,2072.24,51.26,Standard,Net Banking,11,No
50217,57,1744.91,354.88,Standard,Net Banking,9,No
50218,27,521.46,247.2,Standard,Debit Card,11,No
50219,57,394.34,99.52,Standard,Net Banking,11,No
50220,52,2972.34,12.76,Basic,Net Banking,8,Yes
50221,13,381.06,211.91,Standard,Debit Card,9,Yes
50222,41,1500.23,47.39,Standard,Debit Card,2,No
50223,3,1662.47,51.61,Basic,UPI,2,No
50224,39,616.66,137.33,Standard,Credit Card,5,No
50225,6,756.47,317.08,Premium,Net Banking,7,Yes
50226,8,1249.87,267.31,Standard,Debit Card,0,No
50227,27,2356.52,39.15,Standard,UPI,3,No
50228,9,1669.12,484.37,Basic,Credit Card,7,Yes
50229,37,2022.34,444.15,Premium,Net Banking,5,Yes
50230,33,2959.97,133.32,Basic,UPI,1,No
50231,51,2373.61,65.56,Premium,Credit Card,7,No
50232,42,1472.78,471.49,Premium,Net Banking,0,No
50233,44,1505.39,233.27,Premium,UPI,11,No
50234,24,1970.68,159.03,Basic,Net Banking,0,Yes
50235,15,2096.49,247.73,Basic,Credit Card,6,No
50236,59,1651.92,387.51,Premium,Debit Card,9,No
50237,54,2041.13,88.35,Premium,UPI,2,No
50238,32,363.54,384.91,Premium,Credit Card,11,No
50239,32,1459.98,375.98,Standard,Net Banking,11,No
50240,24,1053.13,271.98,Standard,Credit Card,7,No
50241,41,648.77,433.59,Basic,Credit Card,8,Yes
50242,52,568.78,70.41,Premium,Debit Card,7,No
50243,49,1928.62,299.76,Standard,UPI,0,No
50244,49,1713.72,227.42,Basic,Credit Card,0,Yes
50245,58,984.68,214.03,Basic,Debit Card,5,No
50246,52,1571.57,130.02,Standard,Debit Card,11,Yes
50247,12,1629.03,189.28,Standard,Debit Card,0,Yes
50248,39,826.52,58.53,Basic,Net Banking,7,No
50249,2,2060.65,129.54,Basic,Debit Card,5,No
50250,3,2408.48,139.62,Basic,Debit Card,4,No
50251,49,2436.95,361.73,Basic,Debit Card,5,No
50252,37,1926.67,29.03,Premium,Debit Card,3,No
50253,49,1681.42,327.34,Standard,UPI,0,Yes
50254,56,464.72,114.6,Standard,UPI,6,Yes
50255,17,1077.14,45.52,Premium,Debit Card,9,No
50256,59,551.83,153.9,Basic,Credit Card,8,No
50257,49,2902.32,116.11,Premium,Net Banking,3,No
50258,2,664.72,278.26,Premium,Credit Card,3,No
50259,2,709.79,181.9,Standard,Credit Card,8,No
50260,28,2701.86,483.17,Standard,Debit Card,3,No
50261,54,2848.61,481.96,Standard,Credit Card,9,Yes
50262,23,2367.74,224.64,Premium,UPI,3,No
50263,37,314.59,398.57,Basic,UPI,7,No
50264,32,303.63,11.57,Basic,Net Banking,10,No
50265,33,1320.87,276.17,Premium,UPI,3,Yes
50266,1,687.17,372.93,Premium,UPI,8,No
50267,19,349.64,112.39,Standard,Debit Card,10,Yes
50268,2,1552.98,35.28,Basic,UPI,7,No
50269,53,2846.27,82.18,Basic,Credit Card,4,No
50270,44,1174.31,223.71,Standard,Credit Card,8,No
50271,26,2085.08,255.65,Premium,UPI,7,No
50272,32,2061.04,193.54,Basic,Net Banking,9,No
50273,6,977.92,222.79,Standard,Net Banking,3,No
50274,32,2056.15,237.77,Premium,Net Banking,3,Yes
50275,55,873.3,385.87,Basic,UPI,0,Yes
50276,4,629.42,57.09,Premium,Net Banking,3,Yes
50277,55,2193.73,385.63,Basic,UPI,11,No
50278,11,606.29,345.87,Premium,Credit Card,7,No
50279,56,2991.65,372.12,Premium,Net Banking,11,No
50280,59,795.32,368.56,Basic,Net Banking,11,No
50281,17,1904.18,237.94,Premium,Net Banking,4,No
50282,38,1410.71,109.64,Premium,Credit Card,5,No
50283,24,641.24,270.63,Premium,UPI,3,No
50284,5,375.18,479.2,Standard,Credit Card,4,Yes
50285,52,1981.38,296.32,Standard,Credit Card,9,No
50286,34,2478.25,10.47,Basic,Debit Card,7,Yes
50287,6,2573.44,34.56,Basic,Net Banking,11,No
50288,22,1603.33,496.47,Standard,UPI,8,No
50289,11,2399.13,40.61,Basic,UPI,2,No
50290,48,2116.69,27.79,Standard,Debit Card,9,No
50291,16,2255.49,179.75,Standard,Debit Card,3,No
50292,33,1630.02,484.81,Premium,Credit Card,0,Yes
50293,9,2010.21,162.74,Premium,Debit Card,10,Yes
50294,59,2474.92,207.89,Basic,UPI,4,No
50295,6,1374.29,318.87,Standard,UPI,3,Yes
50296,16,2476.14,16.94,Premium,UPI,5,No
50297,29,1898.45,449.39,Basic,Credit Card,5,No
50298,3,747.93,262.12,Basic,Net Banking,9,No
50299,20,366.65,236.07,Premium,Net Banking,5,No
50300,59,1279.43,431.06,Basic,Credit Card,2,No
50301,36,1776.08,476.77,Premium,UPI,6,No
50302,19,2567.51,214.6,Premium,UPI,2,No
50303,26,644.21,90.36,Standard,Credit Card,5,Yes
50304,3,2460.56,408.78,Premium,Credit Card,9,No
50305,19,2630.12,204.61,Basic,Debit Card,0,No
50306,20,706.86,468.1,Premium,Credit Card,7,No
50307,32,2599.3,475.2,Premium,Net Banking,6,No
50308,7,2976.92,61.84,Basic,Credit Card,11,Yes
50309,52,2262.46,478.49,Standard,UPI,8,No
50310,41,2418.88,187.29,Standard,UPI,2,No
50311,33,2984.92,324.89,Basic,UPI,11,Yes
50312,40,1934.8,22.2,Premium,Net Banking,7,Yes
50313,39,1131.29,445.0,Standard,Net Banking,1,Yes
50314,18,2561.33,322.59,Standard,Debit Card,8,No
50315,40,1959.11,323.56,Basic,Credit Card,0,No
50316,1,1869.23,451.58,Standard,Debit Card,11,No
50317,11,984.82,256.63,Premium,Credit Card,9,No
50318,28,2342.1,208.21,Standard,Credit Card,6,No
50319,57,520.5,433.73,Premium,Net Banking,9,No
50320,25,2795.58,372.5,Standard,UPI,0,Yes
50321,50,1179.72,474.74,Basic,Credit Card,5,Yes
50322,23,644.99,470.36,Standard,Net Banking,0,No
50323,31,1494.39,194.25,Basic,Debit Card,3,No
50324,30,414.67,226.26,Basic,UPI,6,Yes
50325,42,2148.49,131.71,Basic,Debit Card,1,Yes
50326,35,2737.3,332.02,Premium,Debit Card,2,No
50327,7,2560.61,185.45,Premium,Net Banking,3,No
50328,16,643.9,394.12,Basic,UPI,5,No
50329,26,640.93,65.17,Basic,Credit Card,11,No
50330,48,2496.27,62.62,Basic,Debit Card,8,No
50331,57,2795.49,106.21,Premium,Credit Card,3,No
50332,52,1543.81,46.72,Standard,UPI,5,No
50333,49,1647.22,311.92,Standard,Net Banking,11,No
50334,2,1159.31,77.94,Standard,Net Banking,6,No
50335,1,2714.52,84.18,Standard,Net Banking,3,Yes
50336,48,2041.24,12.04,Basic,Credit Card,5,No
50337,12,1078.28,392.13,Basic,Credit Card,2,No
50338,5,1106.71,407.09,Basic,UPI,4,Yes
50339,37,2706.24,85.2,Standard,Credit Card,11,No
50340,32,336.81,371.06,Premium,Net Banking,11,No
50341,59,1171.36,219.6,Basic,Debit Card,10,Yes
50342,55,1796.76,123.6,Basic,Debit Card,9,No
50343,9,700.19,312.59,Premium,Debit Card,3,No
50344,41,548.67,93.35,Basic,Net Banking,6,No
50345,35,2501.25,379.66,Basic,Credit Card,5,No
50346,19,2714.89,28.57,Premium,Debit Card,6,Yes
50347,48,2523.74,479.77,Standard,Credit Card,5,Yes
50348,16,2726.73,40.58,Standard,Credit Card,11,No
50349,3,1793.4,291.83,Premium,Net Banking,1,No
50350,20,2493.1,451.59,Standard,Credit Card,6,No
50351,24,1336.92,10.89,Basic,Credit Card,7,No
50352,54,2098.92,251.76,Standard,Net Banking,6,No
50353,56,2969.86,178.25,Standard,UPI,3,No
50354,33,909.46,292.26,Premium,Debit Card,3,No
50355,24,1352.73,116.6,Premium,Debit Card,11,No
50356,52,1596.13,37.13,Basic,Credit Card,4,No
50357,11,672.64,314.84,Standard,UPI,8,Yes
50358,49,518.8,211.34,Basic,Net Banking,4,No
50359,8,2540.25,313.13,Basic,Credit Card,1,Yes
50360,36,2937.34,109.22,Standard,Net Banking,4,No
50361,38,1392.76,172.68,Standard,Debit Card,2,No
50362,40,536.65,283.03,Standard,Net Banking,9,No
50363,20,477.69,298.59,Standard,Debit Card,7,Yes
50364,35,2706.56,189.3,Premium,Net Banking,9,Yes
50365,48,1552.3,143.63,Premium,Net Banking,9,No
50366,25,1164.07,140.48,Standard,UPI,1,Yes
50367,35,1586.45,91.48,Basic,Net Banking,10,No
50368,25,1159.42,166.08,Premium,Credit Card,3,No
50369,29,1620.4,103.72,Premium,UPI,4,No
50370,18,2620.8,318.74,Basic,Credit Card,11,Yes
50371,46,1899.21,286.69,Standard,Net Banking,3,No
50372,18,2175.57,194.38,Premium,Net Banking,4,No
50373,2,1284.61,166.29,Standard,UPI,9,No
50374,54,2293.97,122.62,Standard,Debit Card,10,Yes
50375,35,2099.87,270.05,Basic,UPI,3,No
50376,16,622.82,459.86,Standard,Debit Card,2,No
50377,41,1846.14,344.42,Standard,Debit Card,0,Yes
50378,36,993.21,373.49,Basic,Net Banking,3,No
50379,33,2471.06,418.02,Standard,Credit Card,8,No
50380,4,1450.03,179.06,Basic,UPI,0,Yes
50381,33,2985.65,36.12,Standard,UPI,6,No
50382,14,549.75,313.17,Premium,Net Banking,2,No
50383,21,2406.94,98.39,Standard,Net Banking,7,Yes
50384,48,2118.99,286.68,Standard,UPI,5,No
50385,20,2372.25,371.06,Standard,UPI,0,No
50386,56,1130.33,392.9,Basic,Credit Card,9,No
50387,8,1628.55,154.41,Premium,Net Banking,4,No
50388,7,2450.57,258.65,Basic,Credit Card,11,No
50389,3,927.86,312.38,Basic,Net Banking,7,Yes
50390,17,910.29,410.64,Standard,Net Banking,10,Yes
50391,33,1787.84,381.89,Standard,Credit Card,2,No
50392,48,1713.62,494.05,Basic,Debit Card,11,No
50393,12,1062.11,9.0,Basic,Debit Card,11,Yes
50394,59,1104.8,221.56,Premium,Debit Card,3,No
50395,51,1050.18,131.74,Basic,Net Banking,6,No
50396,22,2383.08,64.35,Basic,Credit Card,10,No
50397,55,2060.13,456.2,Basic,Debit Card,5,Yes
50398,22,2547.53,498.99,Basic,UPI,6,Yes
50399,46,2933.78,94.4,Standard,Debit Card,8,No
50400,30,1580.24,24.02,Standard,Credit Card,8,No
50401,38,480.07,141.15,Premium,Net Banking,1,No
50402,38,429.85,418.26,Basic,Credit Card,2,No
50403,45,1098.3,150.48,Basic,Net Banking,3,Yes
50404,51,2817.87,33.17,Basic,Credit Card,5,Yes
50405,54,1712.68,30.98,Basic,Credit Card,4,Yes
50406,8,1033.82,216.57,Basic,UPI,5,Yes
50407,27,1377.75,466.25,Basic,Debit Card,10,No
50408,27,1916.21,146.53,Basic,Debit Card,7,No
50409,34,2062.96,216.44,Standard,Credit Card,1,Yes
50410,21,715.58,55.46,Basic,Debit Card,5,No
50411,30,2937.99,249.32,Basic,UPI,8,No
50412,33,1770.89,349.79,Basic,Credit Card,4,Yes
50413,28,666.36,139.22,Basic,Debit Card,0,No
50414,47,2712.82,151.87,Standard,Debit Card,7,No
50415,33,501.52,421.78,Basic,Net Banking,3,No
50416,5,2750.89,10.13,Basic,Debit Card,7,No
50417,48,2990.73,320.05,Basic,Debit Card,3,Yes
50418,19,2191.17,199.97,Basic,Net Banking,10,No
50419,4,2380.21,152.7,Premium,Credit Card,7,No
50420,35,1210.72,330.51,Premium,Credit Card,8,No
50421,49,2842.26,418.16,Basic,UPI,4,No
50422,17,1730.23,281.4,Standard,Net Banking,4,Yes
50423,44,2277.45,20.39,Basic,Credit Card,1,No
50424,28,2795.09,233.39,Basic,Debit Card,8,No
50425,30,2932.99,234.07,Basic,Debit Card,10,No
50426,29,2549.65,274.18,Premium,Debit Card,3,No
50427,46,1118.15,337.12,Basic,UPI,2,No
50428,53,2909.68,14.56,Premium,Credit Card,1,No
50429,6,1995.92,253.5,Standard,Net Banking,2,No
50430,35,2812.73,296.21,Basic,Credit Card,3,Yes
50431,41,2125.48,174.96,Premium,Net Banking,8,No
50432,37,1129.55,335.84,Premium,Net Banking,5,No
50433,24,1299.07,117.95,Premium,Credit Card,9,No
50434,29,1786.27,162.1,Standard,Debit Card,4,No
50435,49,2433.04,481.56,Basic,Debit Card,8,No
50436,46,1158.55,177.29,Basic,Net Banking,7,Yes
50437,53,1865.27,176.52,Basic,Debit Card,5,Yes
50438,31,1233.19,299.86,Standard,UPI,2,Yes
50439,35,2502.58,485.63,Premium,UPI,6,No
50440,33,1560.17,491.62,Standard,Net Banking,9,No
50441,52,507.15,291.93,Premium,Debit Card,5,No
50442,21,748.34,5.54,Basic,Net Banking,11,No
50443,32,464.98,450.82,Standard,UPI,10,No
50444,23,1648.12,287.27,Premium,UPI,7,No
50445,33,587.11,186.17,Standard,UPI,11,Yes
50446,3,608.18,415.45,Standard,Credit Card,5,No
50447,18,2840.83,202.92,Standard,UPI,10,No
50448,25,2656.17,21.85,Standard,Debit Card,9,No
50449,42,1520.63,411.43,Premium,Credit Card,3,No
50450,31,2961.67,275.2,Standard,UPI,9,No
50451,54,300.5,172.38,Basic,Debit Card,11,No
50452,58,1957.74,129.19,Standard,UPI,6,No
50453,3,1964.36,298.93,Basic,Debit Card,6,No
50454,40,1535.1,107.98,Standard,Debit Card,10,Yes
50455,46,1371.76,165.31,Basic,UPI,7,No
50456,24,1529.53,320.08,Premium,UPI,1,No
50457,50,1420.39,441.36,Premium,Credit Card,10,No
50458,32,2272.33,268.78,Basic,UPI,5,No
50459,47,665.46,380.76,Basic,Debit Card,2,No
50460,22,833.63,382.71,Standard,Net Banking,7,No
50461,23,787.4,333.86,Premium,Credit Card,3,No
50462,2,1008.67,126.69,Basic,Debit Card,3,No
50463,27,1718.2,434.06,Basic,Debit Card,1,No
50464,42,600.26,220.96,Standard,Net Banking,5,No
50465,2,2644.06,26.88,Standard,UPI,5,No
50466,26,1102.88,126.08,Basic,Debit Card,0,Yes
50467,17,738.85,383.95,Standard,Net Banking,11,No
50468,40,2124.18,39.22,Premium,Net Banking,7,No
50469,33,402.83,77.95,Basic,UPI,2,No
50470,9,1973.92,348.64,Standard,Net Banking,0,Yes
50471,43,2185.14,446.84,Basic,Net Banking,9,No
50472,54,880.27,318.7,Basic,Net Banking,0,No
50473,48,413.3,115.03,Basic,Net Banking,0,No
50474,39,1281.84,31.44,Standard,Net Banking,4,No
50475,29,566.2,309.49,Premium,Net Banking,4,No
50476,42,614.49,28.46,Standard,Debit Card,0,Yes
50477,55,986.51,308.3,Basic,Credit Card,4,No
50478,26,1097.76,116.66,Basic,UPI,6,Yes
50479,35,1730.92,452.8,Standard,Credit Card,4,Yes
50480,50,2131.66,240.17,Basic,UPI,8,Yes
50481,25,1900.48,115.85,Basic,Credit Card,3,No
50482,24,700.57,427.31,Standard,UPI,8,Yes
50483,13,764.63,130.75,Premium,Net Banking,11,Yes
50484,58,2672.68,156.77,Basic,Credit Card,7,Yes
50485,7,1807.55,417.97,Standard,Credit Card,0,No
50486,57,2648.83,157.85,Basic,UPI,3,No
50487,36,1303.18,208.03,Standard,UPI,6,No
50488,45,1958.88,177.09,Standard,Debit Card,0,No
50489,20,1713.89,62.62,Premium,Net Banking,11,Yes
50490,1,1161.63,24.25,Standard,Net Banking,7,Yes
50491,8,1568.77,363.65,Basic,Debit Card,10,Yes
50492,46,1656.73,324.34,Basic,UPI,1,No
50493,16,842.08,144.77,Basic,Net Banking,7,No
50494,14,1150.53,151.32,Standard,UPI,10,No
50495,12,2436.81,472.78,Premium,Net Banking,3,No
50496,51,2772.63,493.9,Standard,Credit Card,7,No
50497,23,1271.44,239.35,Standard,Credit Card,0,Yes
50498,15,1128.83,402.21,Basic,Net Banking,11,Yes
